type,id,bnf_code,nm
amp,34681611000001100,0301011ABBBAAA0,Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (Chiesi Ltd)
vmp,34683311000001106,0301011ABBBAAA0,Generic Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler
vmp,320258002,0301011B0AAAAAA,Bambuterol 10mg tablets
vmp,320259005,0301011B0AAABAB,Bambuterol 20mg tablets
amp,375711000001100,0301011B0BBAAAA,Bambec 10mg tablets (AstraZeneca UK Ltd)
amp,809411000001102,0301011B0BBABAB,Bambec 20mg tablets (AstraZeneca UK Ltd)
vmp,12626211000001108,0301011E0AAAAAA,Formoterol 12microgram inhalation powder capsules with device
vmp,320263003,0301011E0AAABAB,Formoterol 6micrograms/dose dry powder inhaler
vmp,320264009,0301011E0AAACAC,Formoterol 12micrograms/dose dry powder inhaler
vmp,9652711000001107,0301011E0AAADAD,Formoterol 12micrograms/dose inhaler CFC free
amp,3206811000001109,0301011E0BBAAAA,Foradil 12microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)
amp,3243511000001107,0301011E0BCAAAB,Oxis 6 Turbohaler (AstraZeneca UK Ltd)
amp,3245011000001103,0301011E0BCABAC,Oxis 12 Turbohaler (AstraZeneca UK Ltd)
amp,9628711000001106,0301011E0BDAAAD,Atimos Modulite 12micrograms/dose inhaler (Chiesi Ltd)
amp,11176411000001106,0301011E0BEAAAE,Formoterol Easyhaler 12micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)
vmp,4558411000001107,0301011F0AAAAAA,Fenoterol 200micrograms/dose inhaler
amp,4537611000001107,0301011F0BBACAA,Berotec 200micrograms/dose inhaler (Boehringer Ingelheim Ltd)
amp,3408611000001107,0301011R0AAAAAA,Salbutamol 100micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
amp,3410611000001106,0301011R0AAAAAA,Salbutamol 100micrograms/dose inhaler (Mylan)
amp,3412611000001107,0301011R0AAAAAA,Salbutamol 100micrograms/dose inhaler (Kent Pharmaceuticals Ltd)
amp,3415711000001107,0301011R0AAAAAA,Salbutamol 100micrograms/dose inhaler (Sandoz Ltd)
amp,3417111000001102,0301011R0AAAAAA,Salbutamol 100micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
amp,10432311000001108,0301011R0AAAAAA,Salbutamol 100micrograms/dose inhaler (Arrow Generics Ltd)
vmp,35936511000001108,0301011R0AAAAAA,Salbutamol 100micrograms/dose inhaler
vmp,35936411000001109,0301011R0AAADAD,Salbutamol 100micrograms/dose breath actuated inhaler
vmp,35937211000001107,0301011R0AAAFAF,Salbutamol 95micrograms/dose dry powder inhaler
vmp,35936711000001103,0301011R0AAAIAI,Salbutamol 200microgram inhalation powder blisters with device
vmp,35936911000001101,0301011R0AAAJAJ,Salbutamol 400microgram inhalation powder blisters with device
vmp,35936611000001107,0301011R0AAAKAK,Salbutamol 200microgram inhalation powder blisters
vmp,35936811000001106,0301011R0AAALAL,Salbutamol 400microgram inhalation powder blisters
amp,7511000001105,0301011R0AAAPAP,Salbutamol 100micrograms/dose inhaler CFC free (Actavis UK Ltd)
amp,45111000001100,0301011R0AAAPAP,Salbutamol 100micrograms/dose inhaler CFC free (Mylan)
amp,757611000001104,0301011R0AAAPAP,Salbutamol 100micrograms/dose inhaler CFC free (Teva UK Ltd)
amp,18041311000001106,0301011R0AAAPAP,Salbutamol 100micrograms/dose inhaler CFC free (Sandoz Ltd)
vmp,320139002,0301011R0AAAPAP,Salbutamol 100micrograms/dose inhaler CFC free
vmp,320141001,0301011R0AAAQAQ,Salbutamol 200micrograms/dose dry powder inhaler
vmp,320118009,0301011R0AAAUAU,Salbutamol 500micrograms/1ml solution for injection ampoules
vmp,320178003,0301011R0AAAVAV,Salbutamol 200microgram inhalation powder capsules
vmp,320179006,0301011R0AAAWAW,Salbutamol 400microgram inhalation powder capsules
amp,3385711000001103,0301011R0AAAXAX,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd)
amp,3386811000001103,0301011R0AAAXAX,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (Mylan)
amp,9102311000001103,0301011R0AAAXAX,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (Teva UK Ltd)
amp,10453811000001108,0301011R0AAAXAX,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (Arrow Generics Ltd)
amp,11006511000001106,0301011R0AAAXAX,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (Accord Healthcare Ltd)
amp,12880611000001109,0301011R0AAAXAX,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (Kent Pharmaceuticals Ltd)
